GLAM Project,,,,,,,,,,
NASA/GSFC/GIMMS,,,,,,,,,,
USDA/FAS/IPAD,,,,,,,,,,
Created on 2022-04-21 04:51:17 UTC,,,,,,,,,,
,,,,,,,,,,
DB VERSION,v9,,,,,,,,,
SAT,Terra AM,,,,,,,,,
PRODUCT,MODIS NDVI 8-day,,,,,,,,,
MEAN,2001-2018,,,,,,,,,
MASK,GDA-CropID-China_2021_Rice,,,,,,,,,
SHAPE,ADM,,,,,,,,,
ID(s),28585,,,,,,,,,
MAX SAMPLE COUNT,760770,,,,,,,,,
,,,,,,,,,,
ORDINAL DATE,START DATE,END DATE,SOURCE,SAMPLE VALUE,SAMPLE COUNT,MEAN VALUE,MEAN COUNT,ANOM VALUE,MIN VALUE,MAX VALUE
2001-345,12/11/2001,12/18/2001,STD,0.238,290796,0.264,652383,-0.026,0.212,0.316
2001-353,12/19/2001,12/26/2001,STD,0.29,293487,0.27,645790,0.02,0.221,0.36
2001-361,12/27/2001,1/3/2002,STD,0.27,280835,0.282,470816,-0.012,0.172,0.362
2002-001,1/1/2002,1/8/2002,STD,0.269,257762,0.281,380225,-0.012,0.204,0.466
2002-009,1/9/2002,1/16/2002,STD,0.301,188797,0.288,372891,0.013,0.207,0.371
2002-017,1/17/2002,1/24/2002,STD,0.305,251541,0.271,430377,0.034,0.155,0.349
2002-025,1/25/2002,2/1/2002,STD,0.282,231194,0.261,471734,0.021,0.202,0.396
2002-033,2/2/2002,2/9/2002,STD,0.27,200159,0.247,436303,0.023,0.161,0.375
2002-041,2/10/2002,2/17/2002,STD,0.258,309296,0.261,443823,-0.003,0.151,0.383
2002-049,2/18/2002,2/25/2002,STD,0.289,358237,0.273,520937,0.016,0.198,0.369
2002-057,2/26/2002,3/5/2002,STD,0.188,400581,0.259,643239,-0.071,0.18,0.373
2002-065,3/6/2002,3/13/2002,STD,0.252,670971,0.279,742029,-0.027,0.217,0.364
2002-073,3/14/2002,3/21/2002,STD,0.27,686939,0.267,755847,0.003,0.233,0.403
2002-081,3/22/2002,3/29/2002,STD,0.204,332620,0.275,756116,-0.071,0.204,0.329
2002-089,3/30/2002,4/6/2002,STD,0.263,728534,0.279,756336,-0.016,0.255,0.314
2002-097,4/7/2002,4/14/2002,STD,0.303,555655,0.282,756381,0.021,0.236,0.314
2002-105,4/15/2002,4/22/2002,STD,0.243,463292,0.285,756337,-0.042,0.243,0.312
2002-113,4/23/2002,4/30/2002,STD,0.233,563469,0.299,756380,-0.066,0.233,0.338
2002-121,5/1/2002,5/8/2002,STD,0.264,648696,0.298,756163,-0.034,0.259,0.328
2002-129,5/9/2002,5/16/2002,STD,0.281,623853,0.298,756364,-0.017,0.276,0.313
2002-137,5/17/2002,5/24/2002,STD,0.304,712846,0.303,756382,0.001,0.277,0.334
2002-145,5/25/2002,6/1/2002,STD,0.321,747772,0.306,756384,0.015,0.27,0.334
2002-153,6/2/2002,6/9/2002,STD,0.341,744769,0.331,756367,0.01,0.299,0.375
2002-161,6/10/2002,6/17/2002,STD,0.408,642848,0.394,756372,0.014,0.342,0.484
2002-169,6/18/2002,6/25/2002,STD,0.478,650981,0.51,756340,-0.032,0.449,0.606
2002-177,6/26/2002,7/3/2002,STD,0.566,650559,0.629,756171,-0.063,0.549,0.761
2002-185,7/4/2002,7/11/2002,STD,0.669,745792,0.724,756381,-0.055,0.634,0.82
2002-193,7/12/2002,7/19/2002,STD,0.747,540843,0.786,756384,-0.039,0.687,0.853
2002-201,7/20/2002,7/27/2002,STD,0.807,591224,0.82,756385,-0.013,0.739,0.87
